Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,0.9850060343742371,3.0862860679626465,77.7098388671875,-0.12521443035202345,-2.346896397851308,-117.55673932847272,-4.4237504,17.888376,25.588955,19.32559,-7.3213086,-11.254976,4.688163,-6.541646,-13.223435,12.803442,-14.346044,6.511375,1.4419305,2.2096157,12.311881,-9.908794,23.393957,-45.247215,36.41804,-7.180186,0.91421396,4.5412197,-21.92165,-18.773401,63.477673,38.491905,43.79266,5.2987967,-3.8903086
23,1.0034997463226318,3.1390891075134277,77.69879150390625,-0.20468121630122715,-2.438138869273537,-118.01462861449143,-4.3934803,18.253551,25.939133,19.816711,-7.494947,-11.295154,4.4836793,-6.3816876,-12.768103,13.055072,-14.369645,6.430129,1.345814,2.405604,12.477072,-11.002794,23.657146,-45.516586,34.859077,-7.6281676,0.7825997,4.7226686,-23.258371,-18.512821,63.321545,37.38149,44.370213,5.138276,-4.0239844
24,1.024985671043396,3.2085564136505127,77.6855239868164,-0.2849979551511891,-2.53761113712669,-118.48333173766281,-4.352482,18.62461,26.297405,20.31643,-7.667285,-11.333811,4.2899094,-6.2158365,-12.302719,13.293827,-14.382055,6.3542643,1.237717,2.6149395,12.639058,-12.21517,23.945986,-45.77059,33.301422,-8.029225,0.65254456,4.921291,-24.68779,-18.255758,63.125614,36.23161,45.073204,4.9089694,-4.2415357
25,1.0457258224487305,3.2834057807922363,77.6712417602539,-0.3676641087360423,-2.649228173272791,-118.9594011891019,-4.2942696,19.000715,26.65966,20.815042,-7.834815,-11.37336,4.1143456,-6.0425854,-11.830747,13.515309,-14.381295,6.2846193,1.111645,2.8386488,12.8024845,-13.541689,24.265278,-46.017067,31.72363,-8.353088,0.52598524,5.1320653,-26.210049,-18.00747,62.8972,35.019356,45.969048,4.582018,-4.571541
26,1.0727120637893677,3.349348545074463,77.66092681884766,-0.450802323701386,-2.7720128840721925,-119.4472890362774,-4.220339,19.38384,27.030622,21.320997,-8.000787,-11.413519,3.9538162,-5.8629856,-11.348408,13.722423,-14.369353,6.2187386,0.9679737,3.073949,12.964981,-14.959989,24.615889,-46.24738,30.104218,-8.595423,0.4093646,5.365604,-27.816393,-17.7713,62.627586,33.739494,46.96598,4.1730485,-5.0045886
27,1.1127147674560547,3.411700963973999,77.6484375,-0.5318252390938041,-2.898193094124549,-119.95169240481349,-4.1343083,19.770971,27.419424,21.829834,-8.166832,-11.448752,3.7880747,-5.682012,-10.849972,13.937645,-14.356285,6.157034,0.8177021,3.3184998,13.117475,-16.49231,25.002735,-46.46403,28.485197,-8.835864,0.29546458,5.6224794,-29.505259,-17.549604,62.306137,32.4321,47.96882,3.72669,-5.4755974
28,1.1536881923675537,3.4757256507873535,77.63561248779297,-0.6082881457718429,-3.01993983308834,-120.47730852244679,-4.042729,20.16122,27.834213,22.34438,-8.337776,-11.473745,3.6028128,-5.5024643,-10.330328,14.1697445,-14.349092,6.09994,0.6728778,3.5702322,13.251816,-18.15617,25.43268,-46.669086,26.902332,-9.1500435,0.1770266,5.902945,-31.265957,-17.342524,61.91418,31.13216,48.874992,3.2910235,-5.9228916
29,1.18996262550354,3.5496373176574707,77.61821746826172,-0.6818800765786854,-3.1359939884485257,-121.0252174281453,-3.9459443,20.555767,28.273676,22.863918,-8.518161,-11.483787,3.3949518,-5.3227587,-9.788439,14.422354,-14.348494,6.0484886,0.5324263,3.831336,13.362981,-19.968336,25.911343,-46.88465,25.348534,-9.613483,0.041066054,6.1935062,-33.127426,-17.15267,61.459118,29.838636,49.76748,2.88709,-6.3254566
30,1.240343451499939,3.5988669395446777,77.60649871826172,-0.7529459368942957,-3.2503355949133796,-121.5930410307775,-3.8402493,20.955013,28.734795,23.38723,-8.704557,-11.482623,3.1726403,-5.1416078,-9.227292,14.688952,-14.35127,6.0024695,0.3911987,4.1012635,13.456156,-21.914541,26.439724,-47.112732,23.799534,-10.170501,-0.105087034,6.497633,-35.08155,-16.981962,60.945503,28.533855,50.659916,2.4869063,-6.718187
31,1.2970080375671387,3.657396078109741,77.59103393554688,-0.8173387486193897,-3.3630752429214192,-122.18018458109778,-3.7269557,21.35684,29.222706,23.920061,-8.891299,-11.476979,2.9320023,-4.963065,-8.646797,14.978903,-14.36099,5.960129,0.25548297,4.371222,13.538549,-23.969816,27.01642,-47.325436,22.273977,-10.697967,-0.24185298,6.841356,-37.091396,-16.82869,60.367756,27.242664,51.372177,2.069854,-7.1260386
