Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,2.389524459838867,2.7262461185455322,78.55166625976562,1.174378765102949,3.651438657809737,-87.55420485624722,-1.0205238,2.7639601,7.2258906,7.0951715,-10.02871,-4.5625196,-4.80986,-10.050291,-9.065691,16.121819,-12.259602,9.7757635,-3.655642,-3.2522728,6.160215,-4.4940147,18.301506,-54.221462,52.30067,1.8569785,5.6222005,2.499181,-0.5982561,-9.914361,18.325577,48.19313,-12.933476,-4.1775384,-3.0602481
23,2.4444386959075928,2.8988564014434814,78.56046295166016,1.188320418890044,3.7737198395182783,-87.54784662643513,-1.3122723,2.679051,7.1931024,7.0839157,-9.919756,-4.4679112,-5.907341,-10.228135,-8.824549,17.752502,-12.444775,9.74644,-3.6902182,-3.384533,6.6676774,-4.0724626,18.745522,-52.84765,50.83355,1.0142994,4.943504,2.701281,-0.8641862,-9.901317,17.992039,47.74964,-12.823191,-4.3215733,-3.3707032
24,2.4971539974212646,3.0782268047332764,78.56304931640625,1.2422640949864587,3.845827738022323,-87.52170305485808,-1.5680989,2.545649,7.155332,7.080707,-9.796125,-4.3656044,-7.07995,-10.494839,-8.698076,19.658642,-12.590901,9.768767,-3.7238219,-3.5742183,7.275367,-3.5599406,19.215414,-51.19417,49.1302,-0.5325522,4.1714983,3.0340898,-1.1282674,-9.89907,17.699135,47.291164,-12.716813,-4.4720373,-3.6759155
25,2.551624298095703,3.3000640869140625,78.55525970458984,1.3445879626961759,3.8663053783725974,-87.48344944855955,-1.7884291,2.3567832,7.121499,7.084806,-9.651413,-4.249034,-8.338282,-10.884273,-8.713364,21.808437,-12.671643,9.863998,-3.7563941,-3.8315938,8.003634,-2.9231484,19.707243,-49.14977,47.164898,-3.0669246,3.2192333,3.5427294,-1.4016203,-9.908398,17.440031,46.77701,-12.689505,-4.589647,-3.9600859
26,2.5885231494903564,3.535600423812866,78.53948211669922,1.482942474765031,3.8392904747539367,-87.43775271539548,-1.9731094,2.1268146,7.090299,7.094368,-9.491569,-4.118649,-9.680929,-11.380168,-8.8122835,24.19876,-12.715111,9.984405,-3.788085,-4.141085,8.841701,-2.169005,20.219433,-46.75251,44.96232,-6.288647,2.0767126,4.1615534,-1.6893336,-9.927189,17.219707,46.225834,-12.714434,-4.6820545,-4.232511
27,2.632819414138794,3.776278018951416,78.5125503540039,1.653551373193584,3.7651915940107474,-87.36361334159754,-2.1830378,1.8648714,7.039236,7.246444,-9.396914,-3.9850729,-11.0844345,-11.963352,-8.953622,26.905333,-12.760887,10.07278,-3.8162727,-4.497075,9.755247,-1.3412483,20.741001,-44.200233,42.546577,-9.778862,0.89738977,4.75969,-1.9591607,-9.961291,17.058477,45.70513,-12.637319,-4.8309617,-4.519533
28,2.6769614219665527,3.9976139068603516,78.4729995727539,1.8548092688341526,3.6439828108993084,-87.23975786971066,-2.4954638,1.5797651,6.946227,7.7138367,-9.466815,-3.8586366,-12.520075,-12.611862,-9.0990305,29.999928,-12.842774,10.08458,-3.8301373,-4.89255,10.711127,-0.49988124,21.252289,-41.703255,39.95828,-13.133102,-0.14756303,5.241658,-2.1673825,-10.019452,16.968018,45.272003,-12.304464,-5.1200027,-4.8451076
29,2.705357551574707,4.235403060913086,78.4269790649414,2.098031167563214,3.447113613471034,-87.06648317221952,-2.812797,1.2505095,6.812631,8.348583,-9.627056,-3.7360873,-13.977769,-13.373175,-9.290166,33.528595,-12.917925,10.042611,-3.8272579,-5.3420343,11.747325,0.3728758,21.73676,-39.27151,37.190395,-16.610252,-1.0511544,5.575313,-2.3105884,-10.107431,16.918104,44.92169,-11.673954,-5.617899,-5.19544
30,2.737119436264038,4.473239898681641,78.3556900024414,2.384213103298268,3.1828847775519558,-86.85264147894635,-3.1352227,0.8769109,6.6475077,9.13013,-9.862027,-3.6121702,-15.451695,-14.251044,-9.526005,37.412895,-12.971624,9.960982,-3.7968626,-5.8439193,12.867905,1.2751933,22.182764,-36.822823,34.252663,-20.321676,-1.8864305,5.825547,-2.3930469,-10.224015,16.90231,44.617397,-10.828367,-6.26845,-5.55627
31,2.7596378326416016,4.708646774291992,78.26062774658203,2.6930902873571894,2.906071002528702,-86.5902258245774,-3.543909,0.48166823,6.4460235,10.11479,-10.194557,-3.494917,-16.919897,-15.145689,-9.711418,41.542618,-13.084816,9.796236,-3.7153068,-6.3647847,13.984462,2.108867,22.57655,-34.43728,31.231476,-23.638823,-2.5949862,6.085358,-2.3826947,-10.369857,16.963644,44.37552,-9.803613,-6.970358,-5.9512944
32,2.7760331630706787,4.926046371459961,78.14095306396484,3.0044940307944743,2.671925689135073,-86.27080671785899,-4.1234417,0.08791534,6.2050595,11.365263,-10.649077,-3.3924463,-18.367844,-15.950736,-9.754647,45.82345,-13.3439045,9.50797,-3.5550966,-6.865527,15.006194,2.771078,22.901737,-32.207607,28.228853,-25.922945,-3.1249282,6.4631295,-2.2396433,-10.546947,17.136606,44.20923,-8.635694,-7.62375,-6.4067416
