Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
28,-0.407287061214447,-2.164398193359375,77.94552612304688,-1.2602899190911414,0.9281343797028684,-88.50768296725437,-3.4810228,14.957661,29.786919,33.9054,-21.114847,-4.24976,7.642009,-5.490643,-19.342472,6.9604793,-14.456717,8.116187,-1.9124258,1.4089975,15.553702,1.0360849,18.859962,-24.15039,61.963665,-3.446572,-1.2768322,-4.0452056,-7.084228,-21.55556,60.84022,61.847878,2.525481,0.4578005,9.599839
29,-0.35845398902893066,-2.323499917984009,77.88218688964844,-1.2906030853653765,0.9346670378122398,-87.76905958921755,-3.399055,15.216742,30.986158,34.305656,-21.505972,-4.045646,8.008465,-5.5260987,-20.090345,6.9522033,-14.73021,8.209214,-1.4476178,1.5482076,15.614872,1.367955,18.882225,-23.711287,61.906105,-3.9374433,-1.3676301,-3.9834485,-7.525344,-21.538347,62.13333,62.13593,1.4042158,1.1388878,10.829943
30,-0.32175561785697937,-2.483785629272461,77.81867218017578,-1.3103863484154983,0.9465439982413091,-86.96997316626681,-3.2382405,15.400505,32.15686,34.513954,-21.86201,-3.9352484,8.403573,-5.571174,-20.894993,6.940729,-15.010822,8.281086,-0.9910613,1.6742283,15.625618,1.7647914,18.896137,-23.232584,61.844395,-4.4502716,-1.4231555,-3.95852,-7.9639616,-21.4822,63.363983,62.32222,-0.06764644,1.9063672,12.1844225
31,-0.27150052785873413,-2.6728403568267822,77.75773620605469,-1.3070941453983567,0.9627688345497196,-86.11589864965053,-3.023162,15.481904,33.211994,34.54822,-22.18396,-3.8771656,8.824467,-5.6404243,-21.749012,6.9253526,-15.282143,8.34342,-0.5516591,1.7737856,15.593269,2.2050972,18.908152,-22.73467,61.79039,-4.939739,-1.4450426,-3.9547052,-8.397556,-21.388443,64.450935,62.406677,-1.6357884,2.6678445,13.564194
32,-0.21063925325870514,-2.88116717338562,77.6971664428711,-1.2678698350527358,0.9818290322862132,-85.21253301822782,-2.784439,15.438491,34.062023,34.440266,-22.481474,-3.8297112,9.269122,-5.749032,-22.645613,6.9064927,-15.528857,8.407541,-0.13137251,1.83281,15.527174,2.6648033,18.929625,-22.245562,61.75284,-5.364193,-1.4348418,-3.9567804,-8.816819,-21.261518,65.30324,62.38098,-3.041586,3.3484979,14.860093
33,-0.14743191003799438,-3.0998518466949463,77.62783813476562,-1.1984255030759563,0.9920979511082871,-84.24553184696623,-2.5113552,15.297222,34.751938,34.217793,-22.788853,-3.767121,9.681099,-5.9186773,-23.592632,7.0607495,-15.871086,8.481763,0.25969854,1.8586442,15.433153,3.1525192,18.96482,-21.771244,61.72393,-5.7352734,-1.3777301,-3.966185,-9.205007,-21.10545,65.86589,62.22598,-4.266959,3.9690416,16.135277
34,-0.07819050550460815,-3.3086791038513184,77.55045318603516,-1.1003326764020733,1.0003385510756284,-83.21968087526248,-2.1905975,15.04737,35.312164,33.827602,-23.075676,-3.7157645,10.117675,-6.1186786,-24.59369,7.2353153,-16.223497,8.558378,0.6339915,1.8506074,15.302603,3.6774073,19.014826,-21.303389,61.695778,-6.0715346,-1.2770587,-3.9897788,-9.565889,-20.92322,66.188866,61.944103,-5.4347277,4.561648,17.414503
35,-0.018155094236135483,-3.535789728164673,77.4747543334961,-0.9751018414142668,1.0016948589963537,-82.15268590214147,-1.8859234,14.691814,35.586903,33.33844,-23.328224,-3.7257297,10.573344,-6.344491,-25.634317,7.4311337,-16.540325,8.618499,1.002054,1.8074483,15.159177,4.2196255,19.08396,-20.841282,61.668434,-6.337999,-1.161324,-4.0196934,-9.932711,-20.721586,66.34733,61.567657,-6.484221,5.08795,18.519705
36,0.04836300387978554,-3.784991502761841,77.39189910888672,-0.8237140768873177,0.9914690131524552,-81.06287235612135,-1.6564384,14.235394,35.422867,32.81828,-23.532276,-3.844916,11.037418,-6.5969043,-26.69838,7.6611137,-16.777878,8.641888,1.3746147,1.7270262,15.027093,4.76116,19.178455,-20.383455,61.638866,-6.500536,-1.0587393,-4.048743,-10.338657,-20.50963,66.41734,61.124466,-7.34917,5.5175123,19.269815
37,0.12721610069274902,-4.032249450683594,77.31087493896484,-0.6235883518803695,0.9843189766138717,-79.95182277892458,-1.513682,13.608488,34.660664,32.18692,-23.661488,-4.141185,10.889425,-7.2224364,-27.694374,9.354641,-17.73124,8.64046,1.7538047,1.5850002,14.887344,5.3079147,19.30437,-19.9451,61.605278,-6.5136046,-0.9647302,-4.083872,-10.775834,-20.291162,66.381584,60.60343,-7.9456306,5.8662868,19.618362
38,0.2066735476255417,-4.279872417449951,77.20767974853516,-0.3628280989203098,0.978385162715031,-78.81645478851378,-1.4058636,12.813533,33.4397,31.430477,-23.728584,-4.5647798,10.426738,-8.116879,-28.653212,11.84952,-19.057402,8.618509,2.1397376,1.3688254,14.734558,5.873041,19.46351,-19.51828,61.55952,-6.408584,-0.86767995,-4.127924,-11.233856,-20.067852,66.21379,59.98731,-8.321275,6.159231,19.655266
39,0.27517491579055786,-4.522278785705566,77.09488677978516,-0.047902651495975286,0.9472857768660726,-77.67111111342808,-1.2988518,11.943042,32.056133,30.700869,-23.768452,-4.982487,9.874408,-9.187699,-29.601124,14.690648,-20.413603,8.551175,2.5398252,1.0836178,14.612033,6.4513154,19.65534,-19.062304,61.488247,-6.263898,-0.78562,-4.1681147,-11.738747,-19.846436,65.975464,59.289536,-8.609271,6.381794,19.40331
40,0.34680378437042236,-4.762600898742676,76.96989440917969,0.3150516983509731,0.8649018781919859,-76.52941972732813,-1.1764054,11.088578,30.80296,30.155499,-23.817217,-5.2646627,9.255469,-10.448481,-30.543262,17.908768,-21.708118,8.418462,2.9565673,0.73365706,14.564182,7.041202,19.87756,-18.531353,61.375988,-6.157458,-0.7364544,-4.191365,-12.318254,-19.636738,65.735695,58.52173,-8.94019,6.518066,18.88677
41,0.42050114274024963,-5.014454364776611,76.84089660644531,0.7602369545198421,0.7178244890385534,-75.39239036301821,-1.0547487,10.2298565,29.732697,29.862385,-23.876226,-5.3569775,8.62156,-11.938464,-31.52312,21.480953,-22.979856,8.236409,3.3950336,0.27985826,14.612849,7.6404514,20.133234,-17.90553,61.219612,-6.062578,-0.7285485,-4.202262,-12.970141,-19.443312,65.49186,57.664352,-9.307325,6.6141543,18.06634
42,0.5025657415390015,-5.269896507263184,76.71163940429688,1.284539363569663,0.5196209928516992,-74.2539253752037,-0.9370145,9.321592,28.697212,29.725227,-23.925995,-5.334837,7.994052,-13.633613,-32.518284,25.31924,-24.21669,8.000166,3.8496683,-0.27424595,14.736264,8.257831,20.423254,-17.203863,61.02081,-5.9534426,-0.752174,-4.2063146,-13.684813,-19.268175,65.22092,56.709167,-9.650147,6.667041,16.944096
43,0.5794810652732849,-5.514240741729736,76.5752182006836,1.8236667617138456,0.28642379525260886,-73.11595291702366,-0.8033717,8.41925,27.683401,29.660658,-23.972961,-5.26375,7.3422737,-15.447476,-33.437256,29.368387,-25.260126,7.6580787,4.306104,-0.8565925,14.911272,8.907552,20.737734,-16.437963,60.770294,-5.905358,-0.7941274,-4.1910057,-14.471143,-19.119493,64.95364,55.679543,-10.03285,6.588891,15.606893
44,0.6492336988449097,-5.7606401443481445,76.44673919677734,2.3144975649085184,0.03706275846224004,-71.98006624030867,-0.63439316,7.578141,26.679012,29.583935,-24.0236,-5.2086616,6.616179,-17.297167,-34.18957,33.60152,-25.956905,7.159696,4.748087,-1.3939353,15.111613,9.596625,21.05923,-15.619769,60.473057,-5.991855,-0.84595865,-4.143245,-15.33577,-19.00904,64.72465,54.593426,-10.522047,6.2942786,14.139433
45,0.7327577471733093,-6.023575305938721,76.32271575927734,2.7509524253911155,-0.2256131116727279,-70.83543216797327,-0.43198746,6.8015428,25.681614,29.487495,-24.074682,-5.173268,5.811691,-19.194653,-34.7854,38.099815,-26.318712,6.5574546,5.166852,-1.8727959,15.335532,10.311568,21.375366,-14.764812,60.145523,-6.2601624,-0.9073127,-4.045352,-16.278612,-18.94811,64.55845,53.487453,-11.214495,5.7091017,12.456473
46,0.8177601099014282,-6.282820701599121,76.20824432373047,3.154798869781102,-0.5107695497153731,-69.68196171209757,-0.20816073,6.0720043,24.691793,29.41569,-24.126108,-5.12808,4.9560113,-21.162022,-35.266136,42.84391,-26.412025,5.84621,5.5696354,-2.3164232,15.594282,11.043147,21.682737,-13.864157,59.7968,-6.658811,-0.98486763,-3.906694,-17.292156,-18.942818,64.43568,52.330406,-12.06649,4.9116893,10.542314
